nohup: ignoring input
logisticRg(
  (lr): Sequential(
    (0): Linear(in_features=784, out_features=10, bias=True)
  )
)
Epoch:  4 | train loss: 0.3061 | test accuracy: 0.9098
Epoch:  4 | train loss: 0.4126 | test accuracy: 0.9098
Epoch:  4 | train loss: 0.4085 | test accuracy: 0.9094
Epoch:  4 | train loss: 0.3393 | test accuracy: 0.9092
Epoch:  4 | train loss: 0.2871 | test accuracy: 0.9090
Epoch:  4 | train loss: 0.4094 | test accuracy: 0.9092
Epoch:  4 | train loss: 0.2370 | test accuracy: 0.9099
Epoch:  4 | train loss: 0.4103 | test accuracy: 0.9100
Epoch:  4 | train loss: 0.3026 | test accuracy: 0.9103
Epoch:  4 | train loss: 0.2335 | test accuracy: 0.9096
Epoch:  4 | train loss: 0.5013 | test accuracy: 0.9099
Epoch:  4 | train loss: 0.6434 | test accuracy: 0.9103
Epoch:  4 | train loss: 0.3529 | test accuracy: 0.9094
Epoch:  4 | train loss: 0.3953 | test accuracy: 0.9107
Epoch:  4 | train loss: 0.2576 | test accuracy: 0.9110
Epoch:  4 | train loss: 0.4801 | test accuracy: 0.9113
Epoch:  4 | train loss: 0.4410 | test accuracy: 0.9108
Epoch:  4 | train loss: 0.7166 | test accuracy: 0.9109
Epoch:  5 | train loss: 0.1947 | test accuracy: 0.9116
Epoch:  5 | train loss: 0.3525 | test accuracy: 0.9112
Epoch:  5 | train loss: 0.3067 | test accuracy: 0.9114
Epoch:  5 | train loss: 0.2917 | test accuracy: 0.9121
Epoch:  5 | train loss: 0.4666 | test accuracy: 0.9123
Epoch:  5 | train loss: 0.2363 | test accuracy: 0.9116
Epoch:  5 | train loss: 0.3708 | test accuracy: 0.9116
Epoch:  5 | train loss: 0.4345 | test accuracy: 0.9108
Epoch:  5 | train loss: 0.4738 | test accuracy: 0.9114
Epoch:  5 | train loss: 0.7691 | test accuracy: 0.9117
Epoch:  5 | train loss: 0.2284 | test accuracy: 0.9111
Epoch:  5 | train loss: 0.1787 | test accuracy: 0.9105
Epoch:  5 | train loss: 0.1924 | test accuracy: 0.9116
Epoch:  5 | train loss: 0.4032 | test accuracy: 0.9117
Epoch:  5 | train loss: 0.4490 | test accuracy: 0.9113
Epoch:  5 | train loss: 0.4528 | test accuracy: 0.9108
Epoch:  5 | train loss: 0.3231 | test accuracy: 0.9110
Epoch:  5 | train loss: 0.3404 | test accuracy: 0.9111
Epoch:  5 | train loss: 0.3021 | test accuracy: 0.9112
Epoch:  5 | train loss: 0.2933 | test accuracy: 0.9121
Epoch:  5 | train loss: 0.1773 | test accuracy: 0.9125
Epoch:  5 | train loss: 0.3583 | test accuracy: 0.9130
Epoch:  5 | train loss: 0.1701 | test accuracy: 0.9113
Epoch:  5 | train loss: 0.3062 | test accuracy: 0.9113
Epoch:  5 | train loss: 0.2226 | test accuracy: 0.9120
Epoch:  5 | train loss: 0.4570 | test accuracy: 0.9122
Epoch:  5 | train loss: 0.4658 | test accuracy: 0.9117
Epoch:  5 | train loss: 0.3870 | test accuracy: 0.9133
Epoch:  5 | train loss: 0.4065 | test accuracy: 0.9121
Epoch:  5 | train loss: 0.1674 | test accuracy: 0.9120
Epoch:  5 | train loss: 0.3275 | test accuracy: 0.9121
Epoch:  5 | train loss: 0.2273 | test accuracy: 0.9123
Epoch:  5 | train loss: 0.3290 | test accuracy: 0.9128
Epoch:  5 | train loss: 0.3294 | test accuracy: 0.9127
Epoch:  5 | train loss: 0.3628 | test accuracy: 0.9128
Epoch:  5 | train loss: 0.2830 | test accuracy: 0.9126
Epoch:  5 | train loss: 0.5118 | test accuracy: 0.9123
Epoch:  5 | train loss: 0.2991 | test accuracy: 0.9125
Epoch:  6 | train loss: 0.7413 | test accuracy: 0.9126
Epoch:  6 | train loss: 0.5559 | test accuracy: 0.9126
Epoch:  6 | train loss: 0.2754 | test accuracy: 0.9124
Epoch:  6 | train loss: 0.3006 | test accuracy: 0.9127
Epoch:  6 | train loss: 0.4147 | test accuracy: 0.9132
Epoch:  6 | train loss: 0.1449 | test accuracy: 0.9128
Epoch:  6 | train loss: 0.1262 | test accuracy: 0.9129
Epoch:  6 | train loss: 0.5873 | test accuracy: 0.9133
Epoch:  6 | train loss: 0.1061 | test accuracy: 0.9135
Epoch:  6 | train loss: 0.1133 | test accuracy: 0.9132
Epoch:  6 | train loss: 0.5793 | test accuracy: 0.9135
Epoch:  6 | train loss: 0.3925 | test accuracy: 0.9144
Epoch:  6 | train loss: 0.4651 | test accuracy: 0.9145
Epoch:  6 | train loss: 0.3368 | test accuracy: 0.9143
Epoch:  6 | train loss: 0.5138 | test accuracy: 0.9137
Epoch:  6 | train loss: 0.2156 | test accuracy: 0.9146
Epoch:  6 | train loss: 0.3905 | test accuracy: 0.9142
Epoch:  6 | train loss: 0.2788 | test accuracy: 0.9141
Epoch:  6 | train loss: 0.4980 | test accuracy: 0.9139
Epoch:  6 | train loss: 0.3184 | test accuracy: 0.9137
Epoch:  6 | train loss: 0.3624 | test accuracy: 0.9143
